Height,Shag,Little_Gull,Atlantic_Puffin,Black_Throated_Diver,Common_Tern,Northern_Fulmar,Lesser_Black_Backed_Gull,Herring_Gull,Arctic_Tern,Little_Auk,Black_Headed_Gull,Great_Black_backed_Gull,Sandwich_Tern,Arctic_Skua,Great_Skua,Common_Gull,Manx_Shearwater,Northern_Gannet,Black_legged_Kittiwake,Common_Guillemot,Razorbill
1,0.045884743,0.209470985,0.495897669,0.442421423,0.220175663,0.514082704,0.045506574,0.064814906,0.072783392,0.962603732,0.148046217,0.048016051,0.040369973,0.229126216,0.233290201,0.051911576,0.600473553,0.281986342,0.089903661,0.523716407,0.464364392
2,0.047160455,0.156469183,0.2243465,0.073917935,0.161829295,0.231840744,0.045498002,0.060279825,0.07633966,0.03151938,0.122988332,0.046300775,0.046199922,0.16820392,0.168948002,0.051126188,0.237446451,0.170686721,0.081107159,0.237819131,0.222274043
3,0.048128853,0.119061053,0.108375735,0.047151366,0.113978534,0.11112847,0.044796897,0.055931712,0.078788541,0.001140741,0.101416303,0.044588565,0.050994854,0.124734381,0.123038524,0.050841513,0.093210348,0.112824899,0.07253847,0.116890781,0.106091946
4,0.047867308,0.091721156,0.053408056,0.017856486,0.088548801,0.054200534,0.044190314,0.052061616,0.079776058,4.87E-05,0.083651929,0.042926022,0.056045888,0.091616372,0.089004676,0.050128367,0.036747289,0.072894472,0.067067549,0.056493273,0.051181676
5,0.046932778,0.070473884,0.027131003,0.005826074,0.067714546,0.027397145,0.04473932,0.0484299,0.07594396,2.04E-06,0.069617138,0.041148899,0.05873623,0.068078477,0.068694144,0.048672973,0.014550331,0.049954171,0.061008363,0.027463182,0.024936339
6,0.045875337,0.054934202,0.014263342,0.001981135,0.052624175,0.01441419,0.045050779,0.045267182,0.068234272,9.10E-08,0.058639634,0.039708521,0.056056277,0.051481757,0.052507503,0.04744241,0.005787041,0.033202014,0.055578693,0.013489718,0.012690382
7,0.044699987,0.043642768,0.007757368,0.000718385,0.040820358,0.007824083,0.04379291,0.041962906,0.05816983,4.32E-09,0.049695763,0.038335512,0.05261079,0.039394371,0.040074767,0.045889949,0.002311323,0.022500215,0.050706653,0.006694457,0.006693875
8,0.042276518,0.035126846,0.004338972,0.000270403,0.031467953,0.004394195,0.041702152,0.039039505,0.049686981,2.18E-10,0.042252866,0.037061753,0.049696594,0.030455071,0.030869699,0.044045729,0.000945173,0.015546207,0.046329205,0.003356223,0.003614879
9,0.037476295,0.027762304,0.002513617,0.000105437,0.024726734,0.002573266,0.039653563,0.03636721,0.042427667,1.17E-11,0.035962295,0.035674413,0.049068073,0.023945543,0.024019746,0.042197534,0.000409241,0.010951253,0.042391002,0.001699698,0.002041407
10,0.038063283,0.022752962,0.001502285,4.30E-05,0.019789374,0.001550386,0.037762708,0.03383412,0.035915797,6.65E-13,0.030354338,0.034299129,0.046469791,0.019034549,0.01891262,0.040016257,0.000202739,0.008040758,0.038843201,0.000918128,0.001164209
11,0.044103167,0.018515443,0.000922795,1.74E-05,0.015622354,0.000983372,0.036046988,0.031505518,0.029334479,4.03E-14,0.025448968,0.03291133,0.042411459,0.015358282,0.015010854,0.038405115,0.000121283,0.006396398,0.035642169,0.000504336,0.000702086
12,0.042493838,0.015366427,0.000585147,6.75E-06,0.012564134,0.000653845,0.034271467,0.029411411,0.022622073,2.59E-15,0.021509458,0.031412078,0.038813471,0.012618014,0.01203126,0.036709716,9.25E-05,0.005559501,0.032749168,0.000310917,0.00044179
13,0.041091457,0.012771612,0.000383113,2.28E-06,0.010264276,0.000451224,0.032681109,0.027602526,0.014719544,1.77E-16,0.018037641,0.029669447,0.033232992,0.010736667,0.009785293,0.035065221,8.97E-05,0.005327364,0.030123948,0.000236602,0.000308946
