specLabel,January,February,March,April,May,June,July,August,September,October,November,December,referenceProbs
Atlantic_Puffin,0,0,0,0,0,0,0,0,0,0,0,0,1e-08
Atlantic_Puffin,0.0998,0.1027,0.1205,0.0459,0.0465,0.0628,0.0699,0.0622,0.0514,0.1318,0.1246,0.0995,0.025
Atlantic_Puffin,0.1833,0.1903,0.2204,0.0856,0.0898,0.1161,0.1284,0.1157,0.0957,0.2386,0.2201,0.1838,0.05
Atlantic_Puffin,0.3213,0.3376,0.3844,0.1533,0.1696,0.2054,0.2251,0.2061,0.1706,0.4106,0.3679,0.3242,0.1
Atlantic_Puffin,0.629,0.6725,0.7469,0.31,0.3757,0.4076,0.4409,0.4136,0.3425,0.783,0.6743,0.6409,0.25
Atlantic_Puffin,1.0321,1.1179,1.2187,0.5212,0.6824,0.6756,0.7236,0.6911,0.5726,1.2606,1.0561,1.0591,0.5
Atlantic_Puffin,1.4616,1.5958,1.72,0.7493,1.0313,0.9628,1.0249,0.9898,0.8204,1.7648,1.4544,1.5064,0.75
Atlantic_Puffin,1.8576,2.0377,2.1816,0.9607,1.3623,1.228,1.3027,1.2663,1.0498,2.2278,1.8185,1.9194,0.9
Atlantic_Puffin,2.0968,2.3048,2.4603,1.0887,1.5645,1.3884,1.4705,1.4335,1.1886,2.507,2.0376,2.169,0.95
Atlantic_Puffin,2.305,2.5375,2.7029,1.2002,1.7415,1.5281,1.6165,1.5793,1.3095,2.75,2.2282,2.3863,0.975
Atlantic_Puffin,4.9969,5.5489,5.8375,2.6448,4.0559,3.3352,3.5048,3.4659,2.8749,5.8864,4.6835,5.1978,0.9999999
