Species,length_interval_m,length_midpoint_m,length_lwBound_m,length_SD_m,lenght_ref,wingspan_interval_m,wingspan_midpoint_m,wingspan_lwBnd_m,wingspan_SD_m,wingspan_ref,flightspeed_minpersec,flightspeed_ref
Arctic Skua,0.41 - 0.46,0.435,0.41,0.0125,Birds of the western palearctic,1.10 - 1.25,1.18,1.1,0.0375,Birds of the western palearctic,13.8,Alerstam et al (2007)
Black-throated Diver,0.58-0.73,0.655,0.58,0.0375,Snow and Perrins (1998),1.10-1.30,1.20,1.1,0.05,Snow and Perrins (1998),19.3,Alerstam et al (2007)
Common Guillemot,0.38 - 0.41,0.395,0.38,0.0075,Birds of the western palearctic,0.64 - 0.70,0.67,0.64,0.015,Birds of the western palearctic,19.1,Pennycuick (1987)
Common Gull,0.40-0.42,0.41,0.4,0.005,Snow and Perrins (1998),1.10-1.30,1.20,1.1,0.05,Snow and Perrins (1998),13.4,Alerstam et al (2007)
Common Tern,0.31-0.35,0.33,0.31,0.01,Snow and Perrins (1998),0.77-0.98,0.88,0.77,0.0525,Snow and Perrins (1998),10.9,Alerstam et al (2007)
Cormorant,0.80 - 1.00,0.9,0.8,0.05,Birds of the western palearctic,1.30 - 1.60,1.45,1.3,0.075,Birds of the western palearctic,15.2,Alerstam et al (2007)
Northern Gannet,0.87-1.00,0.935,0.87,0.0325,Snow and Perrins (1998),1.65-1.80,1.73,1.65,0.0375,Snow and Perrins (1998),14.9,Pennycuick (1997)
Great Black-backed Gull,0.64-0.78,0.71,0.64,0.035,Snow and Perrins (1998),1.50-1.65,1.58,1.5,0.0375,Snow and Perrins (1998),13.7,Alerstam et al (2007)
Great Skua,0.51 - 0.66,0.585,0.51,0.0375,Birds of the western palearctic,1.45 - 1.55,1.50,1.45,0.025,Birds of the western palearctic,14.9,Pennycuick (1987)
Herring Gull,0.55-0.64,0.595,0.55,0.0225,Snow and Perrins (1998),1.38-1.50,1.44,1.38,0.03,Snow and Perrins (1998),12.8,Alerstam et al (2007)
Black-legged Kittiwake,0.38-0.40,0.39,0.38,0.005,Snow and Perrins (1998),0.95-1.20,1.08,0.95,0.0625,Snow and Perrins (1998),13.1,Alerstam et al (2007)
Lesser Black-Backed Gull,0.52-0.64,0.58,0.52,0.03,Snow and Perrins (1998),1.35-1.50,1.43,1.35,0.0375,Snow and Perrins (1998),12.8,Alerstam et al (2007)
Little Gull,0.25-0.27,0.26,0.25,0.005,Snow and Perrins (1998),0.75-0.80,0.78,0.75,0.0125,Snow and Perrins (1998),11.5,Alerstam et al (2007)
Manx Shearwater,0.30 - 0.38,0.34,0.3,0.02,Birds of the western palearctic,0.76 - 0.89,0.83,0.76,0.0325,Birds of the western palearctic,11.3, Guilford (2008)
Northern Fulmar,0.40 - 0.50,0.45,0.4,0.025,Birds of the western palearctic,1.02 - 1.12,1.07,1.02,0.025,Birds of the western palearctic,13,Pennycuick (1987)
Atlantic Puffin,0.26 - 0.29,0.275,0.26,0.0075,Birds of the western palearctic,0.47 - 0.63,0.55,0.47,0.04,Birds of the western palearctic,17.6,Pennycuick (1997)
Razorbill,0.37 - 0.39,0.38,0.37,0.005,Birds of the western palearctic,0.63 - 0.68,0.66,0.63,0.0125,Birds of the western palearctic,16,Pennycuick (1987)
Red-throated Diver,0.53-0.69,0.61,0.53,0.04,Snow and Perrins (1998),1.06-1.16,1.11,1.06,0.025,Snow and Perrins (1998),17,Alerstam et al (2007)
European Shag,0.65 - 0.80,0.725,0.65,0.0375,Birds of the western palearctic,0.90 - 1.15,1.03,0.9,0.0625,Birds of the western palearctic,15.4,Pennycuick (1987)
sooty shearwater,0.40 - 0.51,0.455,0.4,0.0275,Birds of the western palearctic,0.94 - 1.09,1.02,0.94,0.0375,Birds of the western palearctic,,
Greylag goose,0.75-0.9,0.825,0.75,0.0375,Birds of the western palearctic,1.47-1.8,1.64,1.47,0.0825,Birds of the western palearctic,17.1,Alerstam et al (2007)
Pink-footed goose,0.6-0.75,0.675,0.6,0.0375,Birds of the western palearctic,1.35-1.7,1.53,1.35,0.0875,Birds of the western palearctic,17.3,Alerstam et al (2007)
Barnacle Goose,0.58-0.70,0.64,0.58,0.03,Snow and Perrins (1998),1.32-1.45,1.39,1.32,0.0325,Snow and Perrins (1998),17,Alerstam et al (2007)
Brent goose,0.56-0.61,0.585,0.56,0.0125,Snow and Perrins (1998),1.10-1.20,1.15,1.1,0.025,Snow and Perrins (1998),17.7,Alerstam et al (2007)
Whooper swan,1.45-1.6,1.525,1.45,0.0375,Birds of the western palearctic,2.18-2.43,2.31,2.18,0.0625,Birds of the western palearctic,17.3,Alerstam et al (2007)
